classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Support Vector Machines,s28,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9433846153846155,0.941932254679925,0.9433846153846155
Logistic Regression,s28,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9335384615384614,0.9342642146926297,0.9335384615384614
Naive Bayes,s30,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8604615384615386,0.8602333221844496,0.8604615384615386
Support Vector Machines,s30,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.934923076923077,0.9341709312672435,0.934923076923077
Logistic Regression,s30,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9239999999999998,0.9252718536828446,0.9239999999999998
Naive Bayes,s31,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9126153846153848,0.9122052697344852,0.9126153846153848
Support Vector Machines,s31,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9363076923076923,0.9355441523303878,0.9363076923076923
Logistic Regression,s31,"[['pac', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9343076923076922,0.9338703688173091,0.9343076923076922
Naive Bayes,s33,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9206153846153846,0.9228408230273233,0.9206153846153846
Support Vector Machines,s33,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9476923076923075,0.9469180746746451,0.9476923076923075
Logistic Regression,s33,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9409230769230768,0.9410199446915339,0.9409230769230768
Naive Bayes,s32,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9216923076923077,0.9233346568272406,0.9216923076923077
Support Vector Machines,s32,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9467692307692307,0.9460608930396852,0.9467692307692307
Logistic Regression,s32,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9404615384615385,0.9404963170212011,0.9404615384615385
Naive Bayes,s34,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9115384615384616,0.911982894917141,0.9115384615384616
Support Vector Machines,s34,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9363076923076925,0.9361398014544658,0.9363076923076925
Logistic Regression,s34,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9313846153846154,0.932192124073692,0.9313846153846154
Naive Bayes,s35,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8624615384615385,0.8607498180541302,0.8624615384615385
Support Vector Machines,s35,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9306153846153846,0.9303013215722175,0.9306153846153846
Logistic Regression,s35,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.918923076923077,0.9204700391290906,0.918923076923077
Naive Bayes,s36,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.932,0.9378442289607231,0.932
Support Vector Machines,s36,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9823076923076923,0.9817730418979776,0.9823076923076923
Logistic Regression,s36,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9809230769230769,0.9812846006975888,0.9809230769230769
Naive Bayes,s37,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9335384615384615,0.938967877841144,0.9335384615384615
Support Vector Machines,s37,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9827692307692308,0.9821735285882054,0.9827692307692308
Logistic Regression,s37,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9816923076923076,0.9818987419558057,0.9816923076923076
Naive Bayes,s38,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8953846153846152,0.8984883280645735,0.8953846153846152
Support Vector Machines,s38,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9643076923076922,0.9644858995481007,0.9643076923076922
Logistic Regression,s38,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9655384615384615,0.9655922073476686,0.9655384615384615
Naive Bayes,s39,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9044615384615385,0.9078907009010209,0.9044615384615385
Support Vector Machines,s39,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9669230769230769,0.9672024427921722,0.9669230769230769
Logistic Regression,s39,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9649230769230769,0.9652739762260587,0.9649230769230769
Naive Bayes,s40,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9324615384615385,0.9386672467830175,0.9324615384615385
Support Vector Machines,s40,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.981076923076923,0.9806265300355568,0.981076923076923
Logistic Regression,s40,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9800000000000001,0.9805048185184857,0.9800000000000001
Naive Bayes,s41,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9344615384615385,0.9401042900735807,0.9344615384615385
Support Vector Machines,s41,"[['pac', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9816923076923076,0.9812980700304769,0.9816923076923076
