classifier,setting_id,settings,accuracy,w_avg_precision,w_avg_recall
Logistic Regression,s35,"[['pac', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow'], ['lib', 'scw', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7790441176470588,0.7902631369565222,0.7790441176470588
Naive Bayes,s36,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7374999999999999,0.7415810257548487,0.7374999999999999
Support Vector Machines,s36,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9255514705882352,0.9298460043761747,0.9255514705882352
Logistic Regression,s36,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9044117647058825,0.9064688672139477,0.9044117647058825
Naive Bayes,s37,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7380514705882353,0.7403208962333762,0.7380514705882353
Support Vector Machines,s37,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9200367647058822,0.9262305544591545,0.9200367647058822
Logistic Regression,s37,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'stem', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8996323529411765,0.9025175851941463,0.8996323529411765
Naive Bayes,s38,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.7044117647058823,0.709185223614812,0.7044117647058823
Support Vector Machines,s38,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.9047794117647058,0.9182123142279945,0.9047794117647058
Logistic Regression,s38,"[['pac', 'lc', 'sc', 'sw', 'jk', 'tow'], ['c', 'scw', 'lc', 'sc', 'sw', 'jk', 'tow']]",0.8738970588235295,0.8819603951271484,0.8738970588235295
